timestamp,message
1762596127001,"RequestId: 3e745a91-bee1-4a8d-abf0-e8df3e1b07a2 Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596127001,"END RequestId: 3e745a91-bee1-4a8d-abf0-e8df3e1b07a2
"
1762596127001,"REPORT RequestId: 3e745a91-bee1-4a8d-abf0-e8df3e1b07a2	Duration: 6.95 ms	Billed Duration: 7 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
1762596127045,"[FATAL tini (12)] Failed to register as child subreaper: Operation not permitted
"
1762596127046,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596127046,"INIT_REPORT Init Duration: 3.08 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596127046,"START RequestId: 92736f87-6ec4-4c72-83bc-ab44233f2ece Version: $LATEST
"
1762596127061,"RequestId: 92736f87-6ec4-4c72-83bc-ab44233f2ece Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596127061,"END RequestId: 92736f87-6ec4-4c72-83bc-ab44233f2ece
"
1762596127061,"REPORT RequestId: 92736f87-6ec4-4c72-83bc-ab44233f2ece	Duration: 18.57 ms	Billed Duration: 19 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
1762596127148,"[FATAL tini (11)] Failed to register as child subreaper: Operation not permitted
"
1762596127148,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596127148,"INIT_REPORT Init Duration: 3.34 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596127148,"START RequestId: 9088b566-6d3b-4224-812f-8c7ba6427118 Version: $LATEST
"
1762596127161,"RequestId: 9088b566-6d3b-4224-812f-8c7ba6427118 Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596127161,"END RequestId: 9088b566-6d3b-4224-812f-8c7ba6427118
"
1762596127161,"REPORT RequestId: 9088b566-6d3b-4224-812f-8c7ba6427118	Duration: 16.21 ms	Billed Duration: 17 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
1762596127201,"[FATAL tini (12)] Failed to register as child subreaper: Operation not permitted
"
1762596127201,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596127201,"INIT_REPORT Init Duration: 3.25 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596127201,"START RequestId: 2d949a7a-e862-4c90-9576-52f501d57fb1 Version: $LATEST
"
1762596127203,"RequestId: 2d949a7a-e862-4c90-9576-52f501d57fb1 Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596127203,"END RequestId: 2d949a7a-e862-4c90-9576-52f501d57fb1
"
1762596127203,"REPORT RequestId: 2d949a7a-e862-4c90-9576-52f501d57fb1	Duration: 4.49 ms	Billed Duration: 5 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
1762596127220,"[FATAL tini (12)] Failed to register as child subreaper: Operation not permitted
"
1762596127221,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596127221,"INIT_REPORT Init Duration: 3.26 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596127221,"START RequestId: 81f4a3d5-bade-4669-8c78-4ee2b45b0eb0 Version: $LATEST
"
1762596127222,"RequestId: 81f4a3d5-bade-4669-8c78-4ee2b45b0eb0 Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596127222,"END RequestId: 81f4a3d5-bade-4669-8c78-4ee2b45b0eb0
"
1762596127222,"REPORT RequestId: 81f4a3d5-bade-4669-8c78-4ee2b45b0eb0	Duration: 4.37 ms	Billed Duration: 5 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
1762596127457,"[FATAL tini (11)] Failed to register as child subreaper: Operation not permitted
"
1762596127458,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596127458,"INIT_REPORT Init Duration: 2.70 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596127458,"START RequestId: 910cc26e-3a24-4c68-aee7-a192a38ca73d Version: $LATEST
"
1762596127461,"RequestId: 910cc26e-3a24-4c68-aee7-a192a38ca73d Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596127461,"END RequestId: 910cc26e-3a24-4c68-aee7-a192a38ca73d
"
1762596127461,"REPORT RequestId: 910cc26e-3a24-4c68-aee7-a192a38ca73d	Duration: 6.02 ms	Billed Duration: 7 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
1762596128015,"[FATAL tini (12)] Failed to register as child subreaper: Operation not permitted
"
1762596128015,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596128016,"INIT_REPORT Init Duration: 3.18 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596128016,"START RequestId: 9f86bc84-2e5c-49a5-bbd8-6d1e8318f607 Version: $LATEST
"
1762596128021,"RequestId: 9f86bc84-2e5c-49a5-bbd8-6d1e8318f607 Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596128021,"END RequestId: 9f86bc84-2e5c-49a5-bbd8-6d1e8318f607
"
1762596128021,"REPORT RequestId: 9f86bc84-2e5c-49a5-bbd8-6d1e8318f607	Duration: 8.98 ms	Billed Duration: 9 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
1762596128145,"[FATAL tini (11)] Failed to register as child subreaper: Operation not permitted
"
1762596128146,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596128146,"INIT_REPORT Init Duration: 3.45 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596128146,"START RequestId: 7cb7cde2-6051-4a2c-b64f-d37173b0363b Version: $LATEST
"
1762596128162,"RequestId: 7cb7cde2-6051-4a2c-b64f-d37173b0363b Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596128162,"END RequestId: 7cb7cde2-6051-4a2c-b64f-d37173b0363b
"
1762596128162,"REPORT RequestId: 7cb7cde2-6051-4a2c-b64f-d37173b0363b	Duration: 18.77 ms	Billed Duration: 19 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
